timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent
,,,,,,17008,61,,,
,,,,,,17248,62,,,
,,,,,,17308,63,,,
,,,,,,17368,62,,,
,,,,,,17428,60,,,
,,,,,,17548,59,,,
,,,,,,17608,60,,,
,,,,,,17848,61,,,
2024-05-01T00:50:00.000Z,,,,sedentary,,,,0,,
,,11,3.000,walking,0,17908,,2,,
,,,,,,17968,65,,,
2024-05-01T00:52:00.000Z,,,,sedentary,,,,0,,
,,,,,,18028,70,,,
,,,,,,18088,71,,,
2024-05-01T00:54:00.000Z,,,,sedentary,,,,3,,
,,,,,,18148,53,,,
,,,,,,18208,55,,,
2024-05-01T01:00:00.000Z,,,,sedentary,,,,0,,
,,,,,,18508,57,,,
,,,,,,18568,56,,,
,,,,,,18628,55,,,
,,,,,,18688,56,,,
,,,,,,18808,57,,,
,,,,,,18868,60,,,
,,,,,,18928,58,,,
,,,,,,18988,57,,,
,,,,,,19048,56,,,
,,,,,,19108,57,,,
,,,,,,19348,56,,,
,,,,,,19408,58,,,
,,,,,,19468,67,,,
,,,,,,19528,57,,,
,,,,,,19588,52,,,
,,,,,,19648,54,,,
2024-05-01T01:20:00.000Z,,,,sedentary,,,,0,,
,,,,,,19708,59,,,
,,,,,,19768,60,,,
,,,,,,19828,53,,,
2024-05-01T01:23:00.000Z,,,,sedentary,,,,3,,
,,,,,,19888,65,,,
2024-05-01T01:24:00.000Z,,,,sedentary,,,,0,,
,,,,,,19948,55,,,
,,,,,,20008,66,,,
2024-05-01T01:26:00.000Z,,,,sedentary,,,,2,,
,,,,,,20068,59,,,
,,,,,,20128,60,,,
,,,,,,20188,63,,,
,,,,,,20248,64,,,
,,,,,,20308,66,,,
,,,,,,20368,60,,,
,,,,,,20428,63,,,
2024-05-01T01:33:00.000Z,,,,sedentary,,,,0,,
,,,,,,20488,65,,,
2024-05-01T01:34:00.000Z,,,,sedentary,,,,3,,
,,,,,,20548,66,,,
2024-05-01T01:35:00.000Z,,,,sedentary,,,,0,,
,,,,,,20608,54,,,
,,,,,,20668,66,,,
2024-05-01T01:37:00.000Z,,,,sedentary,,,,2,,
,,,,,,20788,64,,,
,,,,,,20848,65,,,
,,,,,,20908,69,,,
,,,,,,20968,67,,,
,,,,,,21028,65,,,
,,,,,,21088,64,,,
,,,,,,21148,62,,,
,,,,,,21208,63,,,
2024-05-01T01:46:00.000Z,,,,sedentary,,,,0,,
,,,,,,21268,69,,,
2024-05-01T01:47:00.000Z,,,,sedentary,,,,2,,
,,,,,,21328,67,,,
,,,,,,21388,60,,,
,,,,,,21508,61,,,
,,,,,,21568,60,,,
,,,,,,21628,62,,,
2024-05-01T01:53:00.000Z,,,,sedentary,,,,0,,
,,,,,,21688,63,,,
2024-05-01T01:54:00.000Z,,,,sedentary,,,,4,,
,,,,,,21748,73,,,
,,,,,,21808,62,,,
,,,,,,21868,60,,,
,,,,,,21928,63,,,
,,,,,,21988,64,,,
,,,,,,22048,61,,,
2024-05-01T02:00:00.000Z,,,,sedentary,,,,0,,
,,,,,,22108,62,,,
,,,,,,22168,66,,,
,,,,,,22228,60,,,
2024-05-01T02:03:00.000Z,,,,sedentary,,,,3,,
,,,,,,22288,70,,,
,,,,,,22348,62,,,
2024-05-01T02:05:00.000Z,,,,sedentary,,,,0,,
,,,,,,22408,64,,,
2024-05-01T02:06:00.000Z,,,,sedentary,,,,2,,
,,,,,,22468,65,,,
,,,,,,22528,61,,,
,,,,,,22588,65,,,
2024-05-01T02:09:00.000Z,,,,sedentary,,,,0,,
,,,,,,22648,67,,,
2024-05-01T02:10:00.000Z,,,,sedentary,,,,4,,
,,,,,,22708,81,,,
,,,,,,22768,60,,,
,,,,,,22828,63,,,
,,,,,,22888,61,,,
,,,,,,22948,62,,,
2024-05-01T02:15:00.000Z,,,,sedentary,,,,0,,
,,,,,,23008,59,,,
2024-05-01T02:16:00.000Z,,,,sedentary,,,,2,,
,,,,,,23068,54,,,
,,,,,,23128,55,,,
,,,,,,23188,56,,,
,,,,,,23248,54,,,
,,,,,,23488,56,,,
,,,,,,23548,54,,,
,,,,,,23608,55,,,
,,,,,,23728,56,,,
,,,,,,23788,55,,,
,,,,,,23848,56,,,
,,,,,,23908,58,,,
,,,,,,23968,57,,,
,,,,,,24148,58,,,
,,,,,,24268,57,,,
,,,,,,24328,58,,,
,,,,,,24448,60,,,
,,,,,,24508,58,,,
,,,,,,24628,57,,,
,,,,,,24688,61,,,
,,,,,,24748,58,,,
,,,,,,24808,59,,,
,,,,,,24868,56,,,
,,,,,,24928,58,,,
,,,,,,24988,59,,,
,,,,,,25048,58,,,
,,,,,,25228,59,,,
,,,,,,25348,58,,,
,,,,,,25408,57,,,
,,,,,,25468,59,,,
,,,,,,25528,60,,,
2024-05-01T02:58:00.000Z,,,,sedentary,,,,0,,
,,,,,,25648,63,,,
2024-05-01T03:00:00.000Z,,,,sedentary,,,,3,,
,,,,,,25708,73,,,
,,,,,,25768,67,,,
,,,,,,25828,59,,,
2024-05-01T03:03:00.000Z,,,,sedentary,,,,3,,
,,,,,,25888,55,,,
,,,,,,25948,56,,,
,,,,,,26008,52,,,
,,,,,,26068,56,,,
,,,,,,26128,62,,,
,,,,,,26188,59,,,
,,,,,,26248,54,,,
,,,,,,26308,55,,,
,,,,,,26368,53,,,
,,,,,,26428,54,,,
,,,,,,26488,53,,,
,,,,,,26548,57,,,
,,,,,,26668,59,,,
2024-05-01T03:17:00.000Z,,,,sedentary,,,,0,,
,,,,,,26728,61,,,
2024-05-01T03:18:00.000Z,,,,sedentary,,,,3,,
,,,,,,26788,58,,,
,,,,,,26848,59,,,
2024-05-01T03:20:00.000Z,,,,sedentary,,,,0,,
,,,,,,26908,62,,,
2024-05-01T03:21:00.000Z,,,,sedentary,,,,4,,
,,,,,,26968,82,,,
,,,,,,27028,66,,,
,,,,,,27088,58,,,
,,,,,,27148,64,,,
,,,,,,27208,62,,,
2024-05-01T03:27:00.000Z,,,,sedentary,,,,0,,
,,,,,,27328,61,,,
2024-05-01T03:28:00.000Z,,,,sedentary,,,,2,,
,,,,,,27388,65,,,
,,,,,,27448,54,,,
,,,,,,27508,58,,,
2024-05-01T03:31:00.000Z,,,,sedentary,,,,0,,
,,,,,,27568,63,,,
2024-05-01T03:32:00.000Z,,,,sedentary,,,,2,,
,,,,,,27628,67,,,
,,,,,,27688,50,,,
,,,,,,27748,56,,,
,,,,,,27808,52,,,
,,,,,,27868,58,,,
,,,,,,27928,59,,,
2024-05-01T03:38:00.000Z,,,,sedentary,,,,0,,
,,,,,,27988,60,,,
,,,,,,28048,52,,,
,,,,,,28108,56,,,
2024-05-01T03:41:00.000Z,,,,sedentary,,,,3,,
,,,,,,28168,52,,,
,,,,,,28228,54,,,
2024-05-01T03:43:00.000Z,,,,sedentary,,,,0,,
,,,,,,28288,58,,,
2024-05-01T03:44:00.000Z,,,,sedentary,,,,3,,
,,,,,,28408,55,,,
2024-05-01T03:46:00.000Z,,,,sedentary,,,,0,,
2024-05-01T03:47:00.000Z,,,,sedentary,,,,3,,
,,,,,,28528,73,,,
,,,,,,28588,53,,,
,,,,,,28648,58,,,
,,,,,,28708,62,,,
,,,,,,28768,59,,,
2024-05-01T03:52:00.000Z,,,,sedentary,,,,0,,
,,,,,,28828,62,,,
2024-05-01T03:53:00.000Z,,,,sedentary,,,,2,,
,,,,,,28888,59,,,
,,,,,,28948,54,,,
2024-05-01T03:56:00.000Z,,,,sedentary,,,,0,,
,,,,,,29068,67,,,
2024-05-01T03:57:00.000Z,,,,sedentary,,,,2,,
,,,,,,29128,60,,,
,,,,,,29188,57,,,
,,,,,,29248,54,,,
2024-05-01T04:00:00.000Z,,,,sedentary,,,,0,,
,,,,,,29308,56,,,
,,,,,,29368,55,,,
,,,,,,29488,57,,,
,,,,,,29548,56,,,
,,,,,,29608,58,,,
2024-05-01T04:06:00.000Z,,,,sedentary,,,,0,,
,,,,,,29668,59,,,
2024-05-01T04:07:00.000Z,,,,sedentary,,,,3,,
,,,,,,29728,63,,,
,,,,,,29788,53,,,
2024-05-01T04:09:00.000Z,,,,sedentary,,,,0,,
,,,,,,29848,56,,,
2024-05-01T04:10:00.000Z,,,,sedentary,,,,4,,
,,,,,,29908,50,,,
,,,,,,29968,54,,,
,,,,,,30028,55,,,
,,,,,,30088,58,,,
,,,,,,30208,54,,,
,,,,,,30268,58,,,
,,,,,,30388,57,,,
,,,,,,30448,56,,,
,,,,,,30508,58,,,
,,,,,,30628,57,,,
,,,,,,30688,60,,,
,,,,,,30748,61,,,
,,,,,,30808,58,,,
,,,,,,30868,57,,,
,,,,,,30928,59,,,
2024-05-01T04:28:00.000Z,,,,sedentary,,,,0,,
2024-05-01T04:29:00.000Z,,,,sedentary,,,,4,,
,,,,,,31048,60,,,
,,,,,,31108,54,,,
2024-05-01T04:31:00.000Z,,,,sedentary,,,,0,,
,,,,,,31168,67,,,
,,,,,,31288,68,,,
2024-05-01T04:34:00.000Z,,,,sedentary,,,,3,,
,,,,,,31348,59,,,
,,,,,,31408,56,,,
,,,,,,31468,60,,,
,,,,,,31528,59,,,
,,,,,,31588,64,,,
,,,,,,31648,62,,,
,,,,,,31708,70,,,
,,,,,,31768,61,,,
,,,,,,31828,62,,,
,,,,,,31888,65,,,
,,,,,,31948,64,,,
,,,,,,32008,63,,,
2024-05-01T04:46:00.000Z,,,,sedentary,,,,0,,
,,,,,,32068,60,,,
,,,,,,32128,66,,,
,,,,,,32188,64,,,
2024-05-01T04:49:00.000Z,,,,sedentary,,,,3,,
,,,,,,32248,65,,,
,,,,,,32308,59,,,
,,,,,,32368,62,,,
,,,,,,32428,68,,,
,,,,,,32488,66,,,
,,,,,,32548,63,,,
2024-05-01T04:55:00.000Z,,,,sedentary,,,,0,,
,,,,,,32608,62,,,
,,,,,,32668,69,,,
2024-05-01T04:57:00.000Z,,,,sedentary,,,,3,,
,,,,,,32728,60,,,
,,,,,,32788,59,,,
,,,,,,32848,56,,,
2024-05-01T05:00:00.000Z,,,,sedentary,,,,0,,
2024-05-01T05:01:00.000Z,,,,sedentary,,,,0,,
,,,,,,32968,58,,,
2024-05-01T05:02:00.000Z,,,,sedentary,,,,3,,
,,,,,,33088,54,,,
,,,,,,33148,58,,,
,,,,,,33208,56,,,
,,,,,,33268,58,,,
2024-05-01T05:07:00.000Z,,,,sedentary,,,,0,,
,,,,,,33328,61,,,
2024-05-01T05:08:00.000Z,,,,sedentary,,,,3,,
,,,,,,33448,58,,,
,,,,,,33508,59,,,
,,,,,,33568,61,,,
2024-05-01T05:15:00.000Z,,,,sedentary,,,,0,,
,,,,,,33808,62,,,
2024-05-01T05:16:00.000Z,,,,sedentary,,,,3,,
,,,,,,33868,66,,,
2024-05-01T05:17:00.000Z,,,,sedentary,,,,0,,
,,,,,,33928,74,,,
,,,,,,33988,75,,,
2024-05-01T05:19:00.000Z,,,,sedentary,,,,4,,
,,,,,,34048,68,,,
2024-05-01T05:20:00.000Z,,,,sedentary,,,,0,,
,,,,,,34108,67,,,
,,,,,,34168,75,,,
2024-05-01T05:22:00.000Z,,,,sedentary,,,,4,,
,,,,,,34228,72,,,
,,21,7.000,walking,0,34228,,1,,
,,,,,,34288,81,,,
2024-05-01T05:24:00.000Z,,,,sedentary,,,,4,,
,,45,20.000,walking,0,34348,,0,,
,,,,,,34408,83,,,
,,,,,,34528,72,,,
,,,,,,34588,70,,,
,,,,,,34648,72,,,
,,,,,,34708,78,,,
,,,,,,34768,74,,,
,,,,,,34888,72,,,
,,,,,,34948,70,,,
,,,,,,35008,63,,,
,,,,,,35128,67,,,
2024-05-01T05:38:00.000Z,,,,sedentary,,,,4,,
,,,,,,35188,80,,,
,,58,25.000,walking,0,35188,,1,,
,,,,,,35248,77,,,
,,,,,,35308,65,,,
2024-05-01T05:41:00.000Z,,,,sedentary,,,,4,,
,,,,,,35368,62,,,
,,,,,,35428,64,,,
2024-05-01T05:43:00.000Z,,,,sedentary,,,,0,,
,,,,,,35488,66,,,
,,,,,,35548,68,,,
,,,,,,35608,75,,,
,,,,,,35668,71,,,
,,,,,,35728,0,,,
2024-05-01T05:49:00.000Z,,,,sedentary,,,,3,,
2024-05-01T05:54:00.000Z,,,,sedentary,,,,0,,
2024-05-01T05:55:00.000Z,,,,sedentary,,,,3,,
2024-05-01T05:57:00.000Z,,,,sedentary,,,,0,,
,,83,38.000,walking,,36328,,1,,
,,,,,,36388,76,,,
,,,,,,36448,85,,,
2024-05-01T06:00:00.000Z,,,,sedentary,,,,4,,
,,,,,,36508,90,,,
,,,,,,36568,85,,,
,,,,,,36628,65,,,
,,,,,,36688,66,,,
,,,,,,36748,67,,,
,,,,,,36808,65,,,
,,,,,,36868,67,,,
,,,,,,36988,73,,,
,,,,,,37048,76,,,
,,,,,,37108,83,,,
,,,,,,37168,80,,,
2024-05-01T06:12:00.000Z,,,,sedentary,,,,3,,
,,,,,,37228,82,,,
,,120,53.000,walking,1,37228,,2,,
,,,,,,37288,84,,,
,,,,,,37348,73,,,
,,,,,,37408,67,,,
,,,,,,37468,64,,,
,,,,,,37528,72,,,
,,,,,,37588,85,,,
,,,,,,37648,89,,,
,,,,,,37708,81,,,
,,,,,,37768,68,,,
,,,,,,37828,60,,,
,,,,,,37948,66,,,
,,,,,,38008,61,,,
,,,,,,38068,60,,,
,,,,,,38128,62,,,
,,,,,,38188,60,,,
2024-05-01T06:29:00.000Z,,,,sedentary,,,,4,,
,,,,,,38248,62,,,
,,,,,,38308,57,,,
2024-05-01T06:31:00.000Z,,,,sedentary,,,,0,,
,,,,,,38368,61,,,
,,,,,,38428,62,,,
2024-05-01T06:33:00.000Z,,,,sedentary,,,,2,,
,,,,,,38488,60,,,
2024-05-01T06:34:00.000Z,,,,sedentary,,,,0,,
,,,,,,38548,67,,,
,,,,,,38608,63,,,
2024-05-01T06:36:00.000Z,,,,sedentary,,,,2,,
,,,,,,38668,64,,,
2024-05-01T06:37:00.000Z,,,,sedentary,,,,0,,
,,,,,,38728,63,,,
,,,,,,38788,67,,,
,,,,,,38848,65,,,
2024-05-01T06:40:00.000Z,,,,sedentary,,,,2,,
,,,,,,38908,68,,,
,,,,,,38968,64,,,
,,,,,,39028,67,,,
2024-05-01T06:43:00.000Z,,,,sedentary,,,,0,,
,,,,,,39088,63,,,
,,,,,,39148,56,,,
,,,,,,39208,58,,,
,,,,,,39268,56,,,
,,,,,,39328,58,,,
,,,,,,39388,61,,,
,,,,,,39448,63,,,
,,,,,,39508,60,,,
,,,,,,39568,58,,,
,,,,,,39628,67,,,
,,,,,,39688,57,,,
,,,,,,39748,50,,,
,,,,,,39808,65,,,
,,,,,,39868,59,,,
,,,,,,39928,61,,,
,,,,,,39988,63,,,
2024-05-01T07:00:00.000Z,,,,sedentary,,,,3,,
,,,,,,40108,65,,,
,,,,,,40168,70,,,
,,,,,,40228,78,,,
,,,,,,40288,65,,,
,,,,,,40348,58,,,
,,,,,,40408,56,,,
,,,,,,40468,61,,,
,,,,,,40528,76,,,
,,,,,,40588,60,,,
2024-05-01T07:09:00.000Z,,,,sedentary,,,,4,,
,,,,,,40648,67,,,
2024-05-01T07:10:00.000Z,,,,sedentary,,,,0,,
,,,,,,40708,62,,,
,,,,,,40768,61,,,
2024-05-01T07:12:00.000Z,,,,sedentary,,,,3,,
,,,,,,40828,58,,,
,,,,,,40888,59,,,
,,,,,,40948,61,,,
2024-05-01T07:15:00.000Z,,,,sedentary,,,,0,,
,,,,,,41008,59,,,
,,,,,,41068,58,,,
,,,,,,41128,59,,,
,,,,,,41188,60,,,
,,,,,,41248,65,,,
,,,,,,41308,68,,,
,,,,,,41428,66,,,
,,,,,,41488,69,,,
,,,,,,41548,64,,,
,,,,,,41608,60,,,
,,,,,,41728,61,,,
,,,,,,41788,72,,,
,,,,,,41848,61,,,
,,,,,,41908,67,,,
,,,,,,41968,63,,,
,,,,,,42088,65,,,
,,,,,,42148,64,,,
,,,,,,42208,65,,,
,,,,,,42268,63,,,
,,,,,,42328,62,,,
,,,,,,42388,63,,,
,,,,,,42448,55,,,
,,,,,,42568,57,,,
,,,,,,42628,51,,,
2024-05-01T07:43:00.000Z,,,,sedentary,,,,3,,
,,,,,,42688,55,,,
2024-05-01T07:44:00.000Z,,,,sedentary,,,,0,,
,,,,,,42748,53,,,
,,,,,,42808,60,,,
2024-05-01T07:46:00.000Z,,,,sedentary,,,,4,,
,,,,,,42868,0,,,
2024-05-01T08:00:00.000Z,,,,sedentary,,,,0,,
,,,,,,43828,0,,,
,,,,,,44788,0,,,
2024-05-01T08:25:00.000Z,,,,sedentary,,,,0,,
2024-05-01T08:26:00.000Z,,,,sedentary,,,,3,,
2024-05-01T08:33:00.000Z,,,,sedentary,,,,0,,
2024-05-01T08:34:00.000Z,,,,sedentary,,,,2,,
,,,,,,45748,0,,,
2024-05-01T08:38:00.000Z,,,,sedentary,,,,0,,
2024-05-01T08:39:00.000Z,,,,sedentary,,,,1,,
,,,,,,46708,0,,,
2024-05-01T08:52:00.000Z,,,,sedentary,,,,0,,
,,,,,,46888,83,,,
,,,,,,46948,67,,,
,,,,,,47008,56,,,
2024-05-01T08:56:00.000Z,,,,sedentary,,,,4,,
,,,,,,47068,49,,,
,,,,,,47128,50,,,
,,,,,,47188,54,,,
2024-05-01T08:59:00.000Z,,,,sedentary,,,,0,,
,,,,,,47248,48,,,
2024-05-01T09:00:00.000Z,,,,sedentary,,,,2,,
,,,,,,47308,59,,,
,,,,,,47368,51,,,
,,,,,,47428,50,,,
,,,,,,47488,51,,,
,,,,,,47548,52,,,
,,,,,,47608,59,,,
,,,,,,47668,63,,,
2024-05-01T09:07:00.000Z,,,,sedentary,,,,2,,
,,,,,,47728,60,,,
2024-05-01T09:08:00.000Z,,,,sedentary,,,,0,,
,,,,,,47788,57,,,
,,,,,,47848,52,,,
,,,,,,47908,56,,,
,,,,,,47968,67,,,
,,,,,,48028,65,,,
,,,,,,48088,63,,,
,,,,,,48148,53,,,
,,,,,,48268,54,,,
,,,,,,48328,52,,,
,,,,,,48448,54,,,
,,,,,,48508,56,,,
,,,,,,48568,62,,,
,,,,,,48628,54,,,
,,,,,,48748,50,,,
,,,,,,48808,55,,,
,,,,,,48868,56,,,
,,,,,,49048,52,,,
,,,,,,49108,56,,,
,,,,,,49168,58,,,
,,,,,,49228,55,,,
,,,,,,49288,56,,,
,,,,,,49348,75,,,
,,,,,,49408,64,,,
,,,,,,49468,51,,,
2024-05-01T09:38:00.000Z,,,,sedentary,,,,3,,
,,,,,,49588,58,,,
2024-05-01T09:39:00.000Z,,,,sedentary,,,,0,,
,,,,,,49708,55,,,
,,,,,,49768,57,,,
,,,,,,49828,50,,,
2024-05-01T09:44:00.000Z,,,,sedentary,,,,3,,
,,,,,,49948,46,,,
2024-05-01T09:45:00.000Z,,,,sedentary,,,,0,,
,,,,,,50008,49,,,
,,,,,,50068,50,,,
,,,,,,50128,55,,,
,,,,,,50188,64,,,
,,,,,,50248,62,,,
,,,,,,50308,49,,,
,,,,,,50428,51,,,
,,,,,,50608,47,,,
,,,,,,50668,50,,,
,,,,,,50788,54,,,
,,,,,,50848,56,,,
2024-05-01T10:00:00.000Z,,,,sedentary,,,,4,,
,,,,,,50908,54,,,
,,,,,,51028,51,,,
,,,,,,51088,49,,,
,,,,,,51148,50,,,
2024-05-01T10:05:00.000Z,,,,sedentary,,,,4,,
,,,,,,51208,54,,,
,,,,,,51268,65,,,
,,143,58.000,walking,1,51268,,2,,
,,,,,,51328,63,,,
,,,,,,51388,56,,,
,,,,,,51448,67,,,
,,,,,,51508,75,,,
,,,,,,51568,67,,,
,,,,,,51628,74,,,
,,,,,,51688,61,,,
,,,,,,51748,66,,,
2024-05-01T10:15:00.000Z,,,,sedentary,,,,5,,
,,,,,,51808,71,,,
,,167,67.000,walking,1,51808,,1,,
,,,,,,51928,72,,,
2024-05-01T10:18:00.000Z,,,,sedentary,,,,3,,
,,,,,,51988,78,,,
,,175,68.000,walking,1,51988,,2,,
,,,,,,52048,86,,,
,,,,,,52108,66,,,
,,,,,,52168,57,,,
,,,,,,52228,59,,,
,,,,,,52288,60,,,
,,,,,,52348,59,,,
,,,,,,52408,61,,,
,,,,,,52468,57,,,
,,,,,,52588,55,,,
,,,,,,52648,59,,,
,,,,,,52708,63,,,
,,,,,,52768,59,,,
,,,,,,52828,57,,,
,,,,,,52888,61,,,
,,,,,,52948,59,,,
,,,,,,53008,72,,,
,,,,,,53068,61,,,
,,,,,,53128,54,,,
,,,,,,53188,59,,,
,,,,,,53248,65,,,
,,,,,,53308,71,,,
2024-05-01T10:41:00.000Z,,,,sedentary,,,,3,,
,,,,,,53368,69,,,
2024-05-01T10:42:00.000Z,,,,sedentary,,,,0,,
,,,,,,53428,63,,,
,,,,,,53548,60,,,
,,,,,,53608,64,,,
,,,,,,53668,70,,,
,,,,,,53728,68,,,
,,,,,,53788,62,,,
