timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,vigorous activity minutes
2024-05-02T22:22:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,50756,55,,,,,
,,,,,,50816,53,,,,,
,,,,,,50876,58,,,,,
,,,,,,50936,55,,,,,
,,,,,,50996,54,,,,,
,,,,,,51356,49,,,,,
,,,,,,51416,51,,,,,
,,,,,,51536,52,,,,,
,,,,,,51656,55,,,,,
,,,,,,51716,53,,,,,
,,,,,,51776,55,,,,,
,,,,,,51836,54,,,,,
,,,,,,51896,56,,,,,
,,,,,,51956,55,,,,,
,,,,,,52016,54,,,,,
,,,,,,52076,53,,,,,
,,,,,,52316,54,,,,,
,,,,,,52376,55,,,,,
,,,,,,52436,54,,,,,
,,,,,,52556,55,,,,,
,,,,,,52616,56,,,,,
,,,,,,52676,54,,,,,
,,,,,,52736,56,,,,,
,,,,,,52796,55,,,,,
,,,,,,52916,53,,,,,
,,,,,,52976,55,,,,,
2024-05-02T23:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,53036,54,,,,,
,,,,,,53096,56,,,,,
,,,,,,53156,55,,,,,
2024-05-02T23:03:00.000Z,,,,sedentary,,,,0,,,,
2024-05-02T23:04:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,53336,51,,,,,
,,,,,,53396,48,,,,,
,,,,,,53456,49,,,,,
2024-05-02T23:08:00.000Z,,,,sedentary,,,,0,,,,
2024-05-02T23:09:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,53636,51,,,,,
,,,,,,53816,52,,,,,
,,,,,,53876,55,,,,,
,,,,,,53936,52,,,,,
,,,,,,54116,53,,,,,
,,,,,,54176,54,,,,,
,,,,,,54236,53,,,,,
,,,,,,54296,54,,,,,
2024-05-02T23:23:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,54416,57,,,,,
2024-05-02T23:24:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,54476,61,,,,,
,,,,,,54536,52,,,,,
,,,,,,54596,51,,,,,
,,,,,,54656,54,,,,,
2024-05-02T23:28:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,54716,51,,,,,
,,,,,,54776,52,,,,,
2024-05-02T23:30:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,54836,55,,,,,
2024-05-02T23:31:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,54896,53,,,,,
2024-05-02T23:32:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,55016,57,,,,,
,,,,,,55076,60,,,,,
,,,,,,55136,66,,,,,
,,,,,,55256,68,,,,,
,,,,,,55316,69,,,,,
,,,,,,55376,68,,,,,
,,,,,,55436,66,,,,,
,,,,,,55496,67,,,,,
2024-05-02T23:42:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,55556,69,,,,,
,,,,,,55616,70,,,,,
2024-05-02T23:44:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,55676,68,,,,,
,,,,,,55736,57,,,,,
,,,,,,55796,62,,,,,
,,,,,,55856,57,,,,,
,,,,,,55916,59,,,,,
,,,,,,55976,57,,,,,
,,,,,,56096,59,,,,,
2024-05-02T23:52:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56156,57,,,,,
2024-05-02T23:53:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,56216,59,,,,,
,,,,,,56276,51,,,,,
2024-05-02T23:55:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56336,53,,,,,
2024-05-02T23:56:00.000Z,,,,sedentary,,,,2,,,,
2024-05-02T23:57:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56456,55,,,,,
,,,,,,56516,56,,,,,
2024-05-02T23:59:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,56576,50,,,,,
2024-05-03T00:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56636,51,,,,,
,,,,,,56696,50,,,,,
,,,,,,56816,52,,,,,
,,,,,,56876,51,,,,,
,,,,,,57176,52,,,,,
,,,,,,57236,50,,,,,
,,,,,,57296,51,,,,,
,,,,,,57356,50,,,,,
,,,,,,57416,52,,,,,
,,,,,,57476,50,,,,,
,,,,,,57536,51,,,,,
,,,,,,57776,52,,,,,
,,,,,,57896,51,,,,,
,,,,,,57956,50,,,,,
,,,,,,58016,49,,,,,
,,,,,,58076,50,,,,,
,,,,,,58136,51,,,,,
,,,,,,58196,54,,,,,
,,,,,,58256,52,,,,,
,,,,,,58316,54,,,,,
,,,,,,58376,53,,,,,
,,,,,,58436,54,,,,,
,,,,,,58496,53,,,,,
,,,,,,58556,55,,,,,
,,,,,,58616,52,,,,,
,,,,,,58676,53,,,,,
,,,,,,58796,54,,,,,
,,,,,,58856,52,,,,,
2024-05-03T00:38:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,58916,53,,,,,
2024-05-03T00:39:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,58976,58,,,,,
2024-05-03T00:40:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,59036,60,,,,,
,,,,,,59096,52,,,,,
2024-05-03T00:42:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,59156,51,,,,,
,,,,,,59216,63,,,,,
,,,,,,59276,49,,,,,
2024-05-03T00:45:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,59336,58,,,,,
2024-05-03T00:46:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,59396,62,,,,,
,,,,,,59456,53,,,,,
2024-05-03T00:48:00.000Z,,,,sedentary,,,,0,,,,
2024-05-03T00:49:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,59576,55,,,,,
,,,,,,59636,49,,,,,
2024-05-03T00:51:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,59696,61,,,,,
2024-05-03T00:52:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,59756,53,,,,,
,,,,,,59816,49,,,,,
,,,,,,59936,55,,,,,
,,,,,,59996,49,,,,,
,,,,,,60056,56,,,,,
,,,,,,60116,50,,,,,
,,,,,,60176,49,,,,,
2024-05-03T01:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,60236,51,,,,,
,,,,,,60296,50,,,,,
,,,,,,60356,51,,,,,
,,,,,,60416,50,,,,,
,,,,,,60476,51,,,,,
,,,,,,60596,53,,,,,
,,,,,,60656,50,,,,,
2024-05-03T01:09:00.000Z,,,,sedentary,,,,0,,,,
2024-05-03T01:10:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,60836,51,,,,,
,,,,,,60896,53,,,,,
2024-05-03T01:12:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,60956,57,,,,,
2024-05-03T01:13:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,61016,58,,,,,
,,,,,,61076,54,,,,,
,,,,,,61136,57,,,,,
,,,,,,61196,59,,,,,
,,,,,,61316,57,,,,,
2024-05-03T01:19:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,61376,60,,,,,
2024-05-03T01:20:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,61436,57,,,,,
,,,,,,61496,60,,,,,
,,,,,,61556,61,,,,,
2024-05-03T01:23:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,61616,62,,,,,
2024-05-03T01:24:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,61676,70,,,,,
,,,,,,61736,62,,,,,
,,,,,,61796,59,,,,,
2024-05-03T01:27:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,61856,65,,,,,
,,,,,,61916,71,,,,,
,,,,,,61976,60,,,,,
2024-05-03T01:30:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,62036,62,,,,,
,,,,,,62096,55,,,,,
,,,,,,62156,60,,,,,
,,,,,,62216,61,,,,,
2024-05-03T01:35:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,62336,62,,,,,
2024-05-03T01:36:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,62396,55,,,,,
2024-05-03T01:37:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,62456,60,,,,,
,,,,,,62516,68,,,,,
2024-05-03T01:39:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,62576,60,,,,,
2024-05-03T01:40:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,62636,58,,,,,
2024-05-03T01:41:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,62696,79,,,,,
,,,,,,62756,58,,,,,
,,,,,,62876,54,,,,,
,,,,,,62936,52,,,,,
,,,,,,62996,50,,,,,
,,,,,,63056,54,,,,,
2024-05-03T01:48:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,63116,59,,,,,
2024-05-03T01:49:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,63176,61,,,,,
,,,,,,63236,54,,,,,
,,,,,,63296,57,,,,,
,,,,,,63356,61,,,,,
,,,,,,63416,60,,,,,
,,,,,,63476,59,,,,,
,,,,,,63536,55,,,,,
2024-05-03T01:56:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,63596,56,,,,,
,,,,,,63656,67,,,,,
2024-05-03T01:58:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,63716,61,,,,,
,,,,,,63776,57,,,,,
2024-05-03T02:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,63836,55,,,,,
2024-05-03T02:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,63896,60,,,,,
,,,,,,63956,64,,,,,
2024-05-03T02:03:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,64016,55,,,,,
,,,,,,64076,53,,,,,
,,,,,,64136,54,,,,,
,,,,,,64196,55,,,,,
,,,,,,64256,52,,,,,
,,,,,,64376,50,,,,,
,,,,,,64436,55,,,,,
,,,,,,64496,53,,,,,
2024-05-03T02:12:00.000Z,,,,sedentary,,,,0,,,,
2024-05-03T02:13:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,64616,51,,,,,
,,,,,,64736,52,,,,,
,,,,,,64796,53,,,,,
,,,,,,64916,56,,,,,
,,,,,,65036,54,,,,,
,,,,,,65096,57,,,,,
,,,,,,65156,55,,,,,
,,,,,,65216,54,,,,,
2024-05-03T02:24:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,65276,58,,,,,
2024-05-03T02:25:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,65396,48,,,,,
,,,,,,65456,49,,,,,
,,,,,,65516,50,,,,,
,,,,,,100,52,,,,,
,,,,,,160,50,,,,,
,,,,,,280,51,,,,,
,,,,,,340,50,,,,,
,,,,,,400,51,,,,,
,,,,,,460,50,,,,,
,,,,,,580,51,,,,,
,,,,,,640,49,,,,,
,,,,,,700,51,,,,,
,,,,,,820,52,,,,,
,,,,,,940,55,,,,,
,,,,,,1000,53,,,,,
,,,,,,1060,52,,,,,
,,,,,,1120,51,,,,,
,,,,,,1180,53,,,,,
,,,,,,1240,51,,,,,
,,,,,,1300,52,,,,,
,,,,,,1360,51,,,,,
,,,,,,1420,52,,,,,
,,,,,,1540,50,,,,,
,,,,,,1600,51,,,,,
,,,,,,1660,54,,,,,
,,,,,,1720,52,,,,,
,,,,,,1840,53,,,,,
2024-05-03T03:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,1900,52,,,,,
2024-05-03T03:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,1960,54,,,,,
2024-05-03T03:02:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,2020,67,,,,,
2024-05-03T03:03:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,2080,47,,,,,
,,,,,,2140,65,,,,,
2024-05-03T03:05:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,2200,73,,,,,
2024-05-03T03:06:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,2260,57,,,,,
,,13,5.000,walking,0,2260,,2,,,,
,,,,,,2320,55,,,,,
,,,,,,2380,50,,,,,
,,,,,,2440,52,,,,,
,,,,,,2500,49,,,,,
2024-05-03T03:13:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,2680,55,,,,,
2024-05-03T03:14:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,2740,57,,,,,
,,26,7.000,walking,0,2740,,4,,,,
,,,,,,2800,62,,,,,
2024-05-03T03:16:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,2860,58,,,,,
,,,,,,2920,47,,,,,
,,,,,,3040,49,,,,,
,,,,,,3100,52,,,,,
,,,,,,3160,56,,,,,
,,,,,,3220,53,,,,,
2024-05-03T03:23:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,3280,57,,,,,
2024-05-03T03:24:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,3340,76,,,,,
2024-05-03T03:25:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,3400,48,,,,,
,,,,,,3460,46,,,,,
2024-05-03T03:27:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,3520,49,,,,,
2024-05-03T03:29:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,3640,50,,,,,
2024-05-03T03:30:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,3700,61,,,,,
,,,,,,3760,49,,,,,
,,,,,,3820,54,,,,,
,,,,,,3880,57,,,,,
,,,,,,3940,59,,,,,
,,,,,,4000,56,,,,,
2024-05-03T03:36:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,4060,65,,,,,
2024-05-03T03:37:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,4120,59,,,,,
,,,,,,4180,61,,,,,
2024-05-03T03:39:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,4240,62,,,,,
2024-05-03T03:40:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,4300,71,,,,,
,,,,,,4360,51,,,,,
,,,,,,4420,57,,,,,
,,,,,,4480,59,,,,,
2024-05-03T03:44:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,4540,62,,,,,
2024-05-03T03:45:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,4600,56,,,,,
,,,,,,4660,52,,,,,
,,,,,,4720,55,,,,,
2024-05-03T03:48:00.000Z,,,,sedentary,,,,0,,,,
2024-05-03T03:49:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,4900,54,,,,,
,,,,,,4960,50,,,,,
2024-05-03T03:52:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,5020,58,,,,,
2024-05-03T03:53:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,5080,57,,,,,
,,,,,,5140,56,,,,,
,,,,,,5200,50,,,,,
,,,,,,5260,54,,,,,
,,,,,,5320,52,,,,,
2024-05-03T03:58:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,5380,58,,,,,
2024-05-03T03:59:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,5440,73,,,,,
2024-05-03T04:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,5500,57,,,,,
2024-05-03T04:01:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,5560,52,,,,,
,,,,,,5620,49,,,,,
,,,,,,5680,54,,,,,
,,,,,,5800,57,,,,,
,,,,,,5860,52,,,,,
,,,,,,5920,51,,,,,
2024-05-03T04:09:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,6040,58,,,,,
2024-05-03T04:10:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,6100,62,,,,,
,,,,,,6160,58,,,,,
,,,,,,6220,52,,,,,
,,,,,,6280,57,,,,,
,,,,,,6340,55,,,,,
,,,,,,6400,57,,,,,
,,,,,,6460,54,,,,,
2024-05-03T04:17:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,6520,56,,,,,
2024-05-03T04:18:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,6580,54,,,,,
,,,,,,6640,50,,,,,
2024-05-03T04:21:00.000Z,,,,sedentary,,,,0,,,,
2024-05-03T04:22:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,6820,58,,,,,
,,,,,,6880,52,,,,,
,,,,,,6940,51,,,,,
,,,,,,7000,52,,,,,
,,,,,,7060,53,,,,,
2024-05-03T04:27:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,7120,55,,,,,
2024-05-03T04:28:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,7180,53,,,,,
,,,,,,7420,51,,,,,
,,,,,,7480,52,,,,,
2024-05-03T04:34:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,7540,53,,,,,
2024-05-03T04:35:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,7600,60,,,,,
,,,,,,7660,50,,,,,
,,,,,,7720,51,,,,,
,,,,,,7900,52,,,,,
,,,,,,8080,53,,,,,
,,,,,,8140,54,,,,,
,,,,,,8260,53,,,,,
,,,,,,8440,54,,,,,
,,,,,,8620,52,,,,,
,,,,,,8680,53,,,,,
,,,,,,8740,54,,,,,
2024-05-03T04:57:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,8920,52,,,,,
,,,,,,8980,50,,,,,
,,,,,,9040,67,,,,,
2024-05-03T05:00:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,9100,74,,,,,
2024-05-03T05:01:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,9160,65,,,,,
2024-05-03T05:02:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,9220,51,,,,,
,,39,8.000,walking,0,9220,,4,,,,
,,,,,,9280,64,,,,,
,,,,,,9400,71,,,,,
2024-05-03T05:06:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,9460,67,,,,,
,,,,,,9520,64,,,,,
2024-05-03T05:08:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,9580,60,,,,,
,,72,16.000,walking,0,9580,,5,,,,
,,,,,,9640,67,,,,,
,,,,,,9700,83,,,,,
,,,,,,9760,71,,,,,
,,,,,,9820,72,,,,,
,,,,,,9940,80,,,,,
,,,,,,10000,74,,,,,
,,,,,,10060,60,,,,,
,,,,,,10120,65,,,,,
,,,,,,10180,74,,,,,
,,,,,,10240,69,,,,,
,,,,,,10300,59,,,,,
,,,,,,10360,64,,,,,
,,,,,,10420,63,,,,,
,,,,,,10480,71,,,,,
,,,,,,10540,73,,,,,
,,,,,,10600,64,,,,,
,,,,,,10660,65,,,,,
,,,,,,10720,71,,,,,
,,,,,,10780,60,,,,,
,,,,,,10840,75,,,,,
,,,,,,10900,67,,,,,
,,,,,,10960,73,,,,,
,,,,,,11020,70,,,,,
,,,,,,11080,68,,,,,
,,,,,,11140,74,,,,,
,,,,,,11200,64,,,,,
,,,,,,11260,57,,,,,
2024-05-03T05:37:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,11320,63,,,,,
,,,,,,11380,80,,,,,
,,,,,,11440,84,,,,,
,,133,41.000,walking,0,11440,,2,,,,
,,,,,,11500,85,,,,,
2024-05-03T05:41:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,11560,0,,,,,
2024-05-03T05:49:00.000Z,,,,sedentary,,,,0,,,,
2024-05-03T05:50:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,12100,87,,,,,
,,,,,,12160,86,,,,,
,,215,70.000,walking,1,12220,,4,,,,
,,,,,,12280,83,,,,,
,,12,6.000,running,0,12280,,6,,,,
,,,,,,12340,84,,,,,
,,,,,,12400,83,,,,,
,,,,,,12460,77,,,,,
2024-05-03T05:57:00.000Z,,,,sedentary,,,,6,,,,
,,,,,,12520,74,,,,,
,,240,85.000,walking,1,12520,,1,,,,
,,,,,,12580,70,,,,,
,,,,,,12640,81,,,,,
2024-05-03T06:00:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,12700,78,,,,,
,,,,,,12760,81,,,,,
,,,,,,12820,84,,,,,
,,,,,,12940,83,,,,,
,,,,,,13000,80,,,,,
,,470,190.000,walking,3,13000,,2,,,,
,,,,,,13060,79,,,,,
,,,,,,13120,75,,,,,
,,,,,,13180,70,,,,,
2024-05-03T06:09:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,13240,71,,,,,
,,509,208.000,walking,4,13240,,2,,,,
,,,,,,13300,77,,,,,
2024-05-03T06:11:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,13360,61,,,,,
,,536,222.000,walking,4,13360,,2,,,,
,,,,,,13420,66,,,,,
2024-05-03T06:13:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,13480,74,,,,,
,,,,,,13540,79,,,,,
,,595,240.000,walking,4,13540,,2,,,,
,,,,,,13600,86,,,,,
,,,,,,13660,83,,,,,
,,,,,,13720,82,,,,,
,,,,,,13780,74,,,,,
,,,,,,13840,76,,,,,
,,,,,,13900,79,,,,,
,,,,,,14020,80,,,,,
,,981,410.000,walking,9,14020,,2,,,,
,,,,,,14080,67,,,,,
2024-05-03T06:24:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,14140,66,,,,,
,,990,411.000,walking,9,14140,,3,,,,
,,,,,,14200,70,,,,,
,,,,,,14260,78,,,,,
,,,,,,14320,77,,,,,
,,,,,,14380,70,,,,,
,,,,,,14440,72,,,,,
2024-05-03T06:30:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,14500,89,,,,,
,,999,413.000,walking,9,14500,,3,,,,
,,,,,,14560,94,,,,,
,,,,,,14620,84,,,,,
,,,,,,14740,80,,,,,
,,,,,,14800,77,,,,,
,,,,,,14860,79,,,,,
,,,,,,14920,86,,,,,
,,,,,,14980,84,,,,,
2024-05-03T06:39:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,15040,76,,,,,
,,,,,,15100,84,,,,,
,,,,,,15160,77,,,,,
,,1074,445.000,walking,9,15160,,2,,,,
,,,,,,15220,84,,,,,
,,,,,,15280,86,,,,,
,,,,,,15340,84,,,,,
,,,,,,15400,80,,,,,
,,,,,,15460,89,,,,,
,,,,,,15520,96,,,,,
,,,,,,15580,88,,,,,
,,,,,,15640,78,,,,,
,,,,,,15700,85,,,,,
,,,,,,15760,88,,,,,
,,,,,,15940,80,,,,,
,,,,,,16000,85,,,,,
,,,,,,16060,81,,,,,
2024-05-03T06:57:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,16120,77,,,,,
,,1082,446.000,walking,9,16120,,2,,,,
,,,,,,16180,84,,,,,
2024-05-03T07:00:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,16300,87,,,,,
,,,,,,16480,88,,,,,
,,,,,,16540,78,,,,,
2024-05-03T07:05:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,16600,77,,,,,
,,1109,456.000,walking,10,16600,,3,,,,
,,,,,,16660,94,,,,,
,,,,,,16720,91,,,,,
,,,,,,16780,92,,,,,
,,,,,,16840,75,,,,,
,,,,,,16900,80,,,,,
,,,,,,16960,92,,,,,
,,,,,,17020,87,,,,,
,,,,,,17080,86,,,,,
,,,,,,17140,79,,,,,
,,,,,,17200,76,,,,,
,,,,,,17260,74,,,,,
2024-05-03T07:17:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,17320,77,,,,,
,,,,,,17380,90,,,,,
,,1215,510.000,walking,11,17380,,2,,,,
,,,,,,17440,88,,,,,
,,,,,,17500,78,,,,,
2024-05-03T07:21:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,17560,72,,,,,
,,1256,529.000,walking,12,17560,,2,,,,
,,,,,,17620,83,,,,,
,,,,,,17680,96,,,,,
,,,,,,17740,91,,,,,
,,,,,,17800,74,,,,,
,,,,,,17860,76,,,,,
,,,,,,17920,74,,,,,
,,,,,,17980,83,,,,,
,,,,,,18040,84,,,,,
,,,,,,18100,78,,,,,
,,,,,,18160,77,,,,,
2024-05-03T07:32:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,18220,89,,,,,
,,1268,533.000,walking,12,18220,,1,,,,
,,,,,,18280,96,,,,,
,,,,,,18340,83,,,,,
,,,,,,18400,86,,,,,
2024-05-03T07:36:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,18460,84,,,,,
,,1309,551.000,walking,13,18460,,2,,,,
,,,,,,18520,90,,,,,
,,,,,,18580,74,,,,,
2024-05-03T07:39:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,18640,70,,,,,
,,1321,556.000,walking,13,18640,,1,,,,
,,,,,,18700,75,,,,,
,,,,,,18760,73,,,,,
,,,,,,18820,72,,,,,
,,,,,,18880,77,,,,,
,,,,,,18940,74,,,,,
,,,,,,19000,73,,,,,
2024-05-03T07:46:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,19060,76,,,,,
,,,,,,19120,74,,,,,
2024-05-03T07:48:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,19180,72,,,,,
,,,,,,19240,74,,,,,
